key,itemLabel,itemLabelheb,uri
Q1402736,Privatdozent,פריבט-דוצנט,http://www.wikidata.org/entity/Q1402736
Q1404030,mobster,Q1404030,http://www.wikidata.org/entity/Q1404030
Q1409420,feudatory,פאודל,http://www.wikidata.org/entity/Q1409420
Q1413522,impostor,מתחזה,http://www.wikidata.org/entity/Q1413522
Q1414937,combatant,לוחם,http://www.wikidata.org/entity/Q1414937
Q1415358,turncoat,Q1415358,http://www.wikidata.org/entity/Q1415358
Q1416611,postmaster,מנהל בית דואר,http://www.wikidata.org/entity/Q1416611
Q1417439,shop assistant,Q1417439,http://www.wikidata.org/entity/Q1417439
Q1418159,information broker,מודיעין,http://www.wikidata.org/entity/Q1418159
Q1427496,comprador,Q1427496,http://www.wikidata.org/entity/Q1427496
Q1430623,fluffer,Q1430623,http://www.wikidata.org/entity/Q1430623
Q1430956,charlatan,שרלטן,http://www.wikidata.org/entity/Q1430956
Q1454125,prostitution client,פראייר,http://www.wikidata.org/entity/Q1454125
Q1455520,groom,אורוון,http://www.wikidata.org/entity/Q1455520
Q1459149,schoolmaster,Q1459149,http://www.wikidata.org/entity/Q1459149
Q1463475,mintmaster,Q1463475,http://www.wikidata.org/entity/Q1463475
Q1469849,marauder,Q1469849,http://www.wikidata.org/entity/Q1469849
Q1473687,shield-maiden,בתולת מגן,http://www.wikidata.org/entity/Q1473687
Q1475726,philatelist,אספן בולים,http://www.wikidata.org/entity/Q1475726
Q1476215,human rights activist,פעיל זכויות אדם,http://www.wikidata.org/entity/Q1476215
Q1477129,seeress (Germanic),Q1477129,http://www.wikidata.org/entity/Q1477129
Q1483709,land owner,בעל אדמה,http://www.wikidata.org/entity/Q1483709
Q1484046,Kammermusiker,Q1484046,http://www.wikidata.org/entity/Q1484046
Q1484065,guslar,Q1484065,http://www.wikidata.org/entity/Q1484065
Q1493121,military historian,היסטוריון צבאי,http://www.wikidata.org/entity/Q1493121
Q1495428,host,Q1495428,http://www.wikidata.org/entity/Q1495428
Q1495660,food critic,מבקר מסעדות,http://www.wikidata.org/entity/Q1495660
Q1498177,prison chaplain,Q1498177,http://www.wikidata.org/entity/Q1498177
Q1499034,spiritual,Q1499034,http://www.wikidata.org/entity/Q1499034
Q1499523,military safety officer,Q1499523,http://www.wikidata.org/entity/Q1499523
Q1500610,community leader,מנהיג קהילה,http://www.wikidata.org/entity/Q1500610
Q1501813,gothi,Q1501813,http://www.wikidata.org/entity/Q1501813
Q1508239,Promyshlennik,Q1508239,http://www.wikidata.org/entity/Q1508239
Q1509714,porter,סבל,http://www.wikidata.org/entity/Q1509714
Q1511216,courtier,חצרן,http://www.wikidata.org/entity/Q1511216
Q1517909,shoeshiner,מצחצח נעליים,http://www.wikidata.org/entity/Q1517909
Q1519593,fencing master,Q1519593,http://www.wikidata.org/entity/Q1519593
Q1528905,newsagent,דוכן עיתונים,http://www.wikidata.org/entity/Q1528905
Q1535038,amateur geology,Q1535038,http://www.wikidata.org/entity/Q1535038
Q1536379,golf course designer,Q1536379,http://www.wikidata.org/entity/Q1536379
