Label,itemLabelheb,uri,count,equals
diver,צולל,http://www.wikidata.org/entity/Q1866686,113,Q1866686
docent,דוצנט,http://www.wikidata.org/entity/Q462390,2472,Q462390
dog trainer,מאלף כלבים,http://www.wikidata.org/entity/Q1637531,60,Q1637531
dollmaker,Q18617002,http://www.wikidata.org/entity/Q18617002,62,Q18617002
donor,Q1968442,http://www.wikidata.org/entity/Q1968442,214,Q1968442
double-bassist,נגן קונטרבס,http://www.wikidata.org/entity/Q1214796,562,Q1214796
drag queen,דמות דראג,http://www.wikidata.org/entity/Q337084,323,Q337084
drawer,שרטט,http://www.wikidata.org/entity/Q15296811,18742,Q15296811
dressmaker,תופר,http://www.wikidata.org/entity/Q2034021,311,Q2034021
driver,נהג,http://www.wikidata.org/entity/Q352388,266,Q352388
drug lord,ברון סמים,http://www.wikidata.org/entity/Q2543769,80,Q2543769
drummer,מתופף,http://www.wikidata.org/entity/Q386854,5075,Q386854
echinodermologist,Q24040377,http://www.wikidata.org/entity/Q24040377,103,Q24040377
editor,עורך,http://www.wikidata.org/entity/Q1607826,15173,Q1607826
editor-in-chief,עורך ראשי,http://www.wikidata.org/entity/Q589298,1773,Q589298
employee,מועסק,http://www.wikidata.org/entity/Q703534,1850,Q703534
enduro rider,Q55986349,http://www.wikidata.org/entity/Q55986349,58,Q55986349
Engelandvaarder,Q1880441,http://www.wikidata.org/entity/Q1880441,68,Q1880441
engineer of the French Corps of Bridges and Roads,Q650012,http://www.wikidata.org/entity/Q650012,113,Q650012
entertainer,בדרן,http://www.wikidata.org/entity/Q138858,742,Q138858
entomologist,אנטומולוג,http://www.wikidata.org/entity/Q3055126,21401,Q3055126
environmentalist,סביבתן,http://www.wikidata.org/entity/Q3578589,2148,Q3578589
epidemiologist,אפידמיולוג,http://www.wikidata.org/entity/Q13416803,1466,Q13416803
epigrammatist,מחבר מכתמים,http://www.wikidata.org/entity/Q26237228,278,Q26237228
